price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,Status,neworold,parking,Furnished_status,Lift,Landmarks,type_of_building,Price_sqft
10000000,"Sector 16 Vasundhara, Ghaziabad, Delhi NCR",1836,28.6571606,77.355748,3,2,,Ready to Move,Resale,,Semi-Furnished,,,Individual House,5446.623094
7600000,"Vaishali Ghaziabad, Vaishali, Ghaziabad, Delhi NCR",1350,28.645769,77.38511,3,2,4,Ready to Move,Resale,1,,3,Mahagun metro Mall,Flat,5629.62963
3900000,"Sector 81, Gurgaon, Sector 81, Gurgaon, Delhi NCR",800,28.387731,76.96791987,2,2,1,Ready to Move,Resale,,,2,Nh8.,Flat,4875
9000000,"sector 103 gurgaon, Dwarka Expressway, Gurgaon, Delhi NCR",1481,28.49744987,77.02709198,2,2,2,Ready to Move,Resale,2,Unfurnished,2,near gurgaon railway station,Flat,6076.975017
8350000,"lotus boulevard, Sector 100, Noida, Delhi NCR",1398,28.54341218,77.367853,2,2,2,Ready to Move,Resale,1,,3,near pathways school,Flat,5972.818312
13500000,"Adhunik CGHS, Opp Tau Devil Lal Bio DiversitPark, Sector 52, Gurugram, Delhi NCR, Sector 52, Gurgaon, Delhi NCR",2150,28.43520877,77.09022523,3,3,4,Ready to Move,Resale,1,,,,Individual House,6279.069767
5310000,"Shakti Khand 2, Ghaziabad, Delhi NCR",1100,28.6467392,77.3709475,3,2,,Ready to Move,Resale,,Furnished,,,Flat,4827.272727
15000000,"Sector 68, Gurgaon, Delhi NCR",1960,28.3907304,77.05782257,3,3,,,Resale,,Semi-Furnished,,,Flat,7653.061224
17500000,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",2450,28.482277,76.99199526,3,3,3,Ready to Move,New Property,2,,2,Bang on Dwarka Expressway,Flat,7142.857143
5000000,"Aspire1106, Sector 78, Noida, Delhi NCR",1000,28.5604873,77.384084,2,2,3,Ready to Move,Resale,1,,2,,Flat,5000
3500000,"Gali No 9, Garhi Jharia Maria, New Delhi - South, Delhi NCR",850,28.55985069,77.24765015,2,2,1,Ready to Move,Resale,,Furnished,,,Flat,4117.647059
4550000,"Krishna Park Colony, New Delhi - South, Delhi NCR",950,28.50809,77.2314673,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,The proprty is located nearby vishal mega mart,Flat,4789.473684
4000000,"Amritpuri B East of Kailash, Amritpuri, New Delhi - South, Delhi NCR",700,28.558586,77.2511855,2,2,,Ready to Move,Resale,,Unfurnished,,,Flat,5714.285714
3500000,"Shalimar Garden Exten 1 near Gulmohar park, Shalimar garden, Ghaziabad, Delhi NCR",750,28.68956947,77.33861542,2,2,2,Ready to Move,Resale,,Semi-Furnished,0,Gulmohar Park,Flat,4666.666667
3500000,"205. Hardik tower sector 53 Noida, Sector 53, Noida, Delhi NCR",950,28.5905383,77.35981,2,2,1,Ready to Move,Resale,1,,1,Near by kanchanjungha sector 61 Noida,Individual House,3684.210526
2400000,"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony, New Delhi - Dwarka, Delhi NCR",540,28.5922718,77.0836792,2,2,1,Ready to Move,New Property,,Semi-Furnished,0,Palam metro station half an hour distance,Flat,4444.444444
80000000,"Central park the resorts sector 48 gurgaon, Sector 48, Gurgaon, Delhi NCR",5571,28.424904,77.03476,5,5,3,Ready to Move,Resale,4,,2,Near By Raheja Mall,Individual House,14360.07898
9500000,"Patel Nagar West, New Delhi - West, Delhi NCR",1200,28.652429,77.1643181,2,2,2,Ready to Move,Resale,,Semi-Furnished,,,Flat,7916.666667
10500000,"Sector 65, Gurgaon, Delhi NCR",1020,28.3978564,77.07393158,2,2,2,Ready to Move,Resale,,,,,Flat,10294.11765
7500000,"G 033., Sector 108, Gurgaon, Delhi NCR",1505,28.512136,76.986899,2,2,2,Ready to Move,Resale,1,,2,Near Dwarka expressway. Near Shobha and Experion projects,Flat,4983.388704
4800000,"Ghaziabad, Vivekanand Nagar, Ghaziabad, Delhi NCR",1232,28.65280724,77.4509201,6,3,2,Ready to Move,Resale,,Unfurnished,,,Flat,3896.103896
5600000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929,28.436305,77.13605,2,2,1,Ready to Move,Resale,,,,,Flat,6027.987083
8500000,"Vaishali, Ghaziabad, Delhi NCR",1350,28.647938,77.340697,3,3,,Ready to Move,Resale,,,,,Flat,6296.296296
4700000,"Indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1085,28.646509,77.38148828,2,2,2,Ready to Move,Resale,,,,DSP school,Flat,4331.797235
8500000,"Sector 108, Gurgaon, Delhi NCR",1790,28.512136,76.986899,3,3,,Ready to Move,Resale,,,,,Flat,4748.603352
10000000,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",1689,28.487018,76.998009,3,3,4,Ready to Move,New Property,1,Semi-Furnished,3,Bang on 150 mtr wide Dwarka Expressway . closer to Delhi n Airport,Flat,5920.663114
18000000,"Sector 67, Gurgaon, Sector 67, Gurgaon, Delhi NCR",2411,28.391644,77.06486457,3,3,3,Ready to Move,Resale,2,,2,sector 67,Flat,7465.781833
12400000,"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",1650,28.6016823,77.03193279,3,2,2,Ready to Move,Resale,2,,0,near by vegas mall sector 14,Flat,7515.151515
7700000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1685,28.50920801,77.40662554,3,4,4,Ready to Move,Resale,1,Unfurnished,2,Sector 137 Metro Station,Flat,4569.732938
6000000,"Vaishali, Ghaziabad, Delhi NCR",1050,28.648794,77.34253225,2,2,2,Ready to Move,Resale,,,,,Flat,5714.285714
12500000,"sector 6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1300,28.59344,77.065951,2,2,2,Ready to Move,Resale,2,,2,near by sector 9 Metro Station,Flat,9615.384615
6380000,"Chhatarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR",1170,28.49589348,77.18599701,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Nearby SKY MANSION BUILDING CSKM PUBLIC SCHOOL Chhatarpur Metro statio,Flat,5452.991453
7400000,"Sohna Road, Gurgaon, Sector 33, Gurgaon, Delhi NCR",1275,28.28709602,77.06906128,2,2,2,Ready to Move,New Property,1,Semi-Furnished,2,On main sohna roadjust before central park flower valleyg. D. Goenka,Flat,5803.921569
8400000,"Sector 84, Gurugram, Haryana, Sihi, Gurgaon, Delhi NCR",1890,28.410466,76.962531,3,3,4,Ready to Move,Resale,1,,2,"Schools,Hospials,Multiplex,Malls & Banks,5/4 Star Hotels in Vacinity",Flat,4444.444444
6400000,"Sector 76, Noida, Sector 76, Noida, Delhi NCR",1455,28.570142,77.386273,3,2,3,Ready to Move,Resale,1,,2,"Near Prateek Wisteria Sector-77 Noida,      4 km Noida City Centre Metro Station",Individual House,4398.62543
19000000,"Dwarka, New Delhi - Dwarka, Delhi NCR",1768,28.59343183,77.04427276,3,2,,Ready to Move,Resale,2,,2,Opposite Bensups hospital; 500 meters walk from Metro station.,Flat,10746.60633
